user,user_location,text,favorite_count,retweet_count
weird alien,,i miss @sesameseee. cant wait for february 20th (2 weeks after my second dose of COVID vaccine) so we can kiss,0,0
Nancy D.,"Boise, ID","Sheesh, bad enough that I’m lumped in with 16 year-olds for when I can get a COVID vaccine despite being in my late 50s, but smokers get priority? Maybe I’ll have to take up a pack/month habit. https://t.co/9zq1VskXju",0,0
CommercialHepC,nearest fork store,RT @Fgbrisco: Me after I get my COVID vaccine. https://t.co/rnaPvf2Bzp,0,56
Dr. President-Elect Kemp English,"A Galaxy Far, Far Away. . . .",RT @michaeljknowles: Well that's not good. https://t.co/HAQlNdhGcu,0,43
A Voice For Choice Advocacy,,"""In addition to the deaths, people have reported 96 life-threatening events following COVID-19 vaccinations, as well as 24 permanent disabilities, 225 hospitalizations, and 1,388 emergency room visits.""
#COVID #Vaccine #Reactions
https://t.co/EQdWhuEDwi via @epochtimes",0,0
Mao,Anywhere ,"RT @OzraeliAvi: I bet their death certificates list COVID as the cause of death.

Helps them sell more.

https://t.co/jiysSaLInd",0,30
Leroy,,"RT @5Agenda21: Take no notice of this scaremongering truth - the vaccine is 100% safe, death is just one of the side effects

Norway urgent…",0,277
Brenda Abramson 🇺🇸,"Maryland, USA","RT @JoeBiden: To get as many people vaccinated as quickly as possible, we need more clinics across the nation. That’s why my administration…",0,4454
"Aly D., M.S. x 3","Las Vegas, NV","RT @OzraeliAvi: I bet their death certificates list COVID as the cause of death.

Helps them sell more.

https://t.co/jiysSaLInd",0,30
Dark Side of the Room - News,"Charlotte, NC",RT @michaeljknowles: Well that's not good. https://t.co/HAQlNdhGcu,0,43
Doctor President Elect Guadagnini guy,USA,RT @michaeljknowles: Well that's not good. https://t.co/HAQlNdhGcu,0,39
نسیم مختار,"New Delhi, India",RT @bsindia: A 35-year-old nurse was admitted to the critical care unit of a hospital in Kolkata after she lost consciousness within minute…,0,2
patrick young,", Melbourne Australia","RT @OzraeliAvi: I bet their death certificates list COVID as the cause of death.

Helps them sell more.

https://t.co/jiysSaLInd",0,29
Sancho Robbert,Carroll Park,If you’re in Long Beach. Do not drive on redondo Ave. this area is being used to distribute the covid vaccine and traffic sucks. https://t.co/ZbK6tsOs73,0,0
william Dunn,,RT @michaeljknowles: Well that's not good. https://t.co/HAQlNdhGcu,0,43
Andrew Barnes,,RT @FatEmperor: It's a bugger when the main cohort who need protection are the ones maybe not able to get it. One wonders where this is goi…,0,19
Chaotic Fairy✨,,RT @michaeljknowles: Well that's not good. https://t.co/HAQlNdhGcu,0,43
Healthcare-Global😷,USA,Pakistan approves AstraZeneca COVID-19 vaccine for emergency use https://t.co/QfB8I5svpO,0,0
Lyn,,"RT @mchatenay: Got my COVID vaccine today.  Contrary to recent spin, health care workers are lining up in droves to get protected. I know I…",0,38
"Aftab Khan, M.D.",United States,"COVID vaccine technologies; 
1.Adenoviruses vector vaccines: by Johnson &amp; Johnson/Janssen &amp; AstraZeneca/The University of Oxford.
2.Recombinant Protein vaccines: by Merck, Sharpe &amp; Dohme &amp; international AIDS Vaccine initiative.
3.Messenger RNA Vaccines: by Pfizer &amp; Moderna!",0,0
Saint Alexander,,RT @CarIegend: It’s absolutely absurd to me that there’s a covid vaccine that’s not easily accessible and is going to waste in some states.,0,1
NJ,"Brisbane, Queensland",RT @michaeljknowles: Well that's not good. https://t.co/HAQlNdhGcu,0,43
Riverini,Panama,RT @michaeljknowles: Well that's not good. https://t.co/HAQlNdhGcu,0,43
Kim Garnick Giarratano,NEPA,My dad got an email canceling his Covid vaccine appt because of unavailability. Guess DeSantis was also misled into thinking we had vaccines in reserve. Mad at everyone.,0,0
Nao Yoshizawa Attorney/Healthcare/AI/IT/Security,"Marunouchi,Chiyoda Tokyo Japan",RT @TIME: mRNA technology gave us the first COVID-19 vaccines. It could also upend the drug industry https://t.co/VhSJestxuf,0,128
Barbie May,"Lincoln, NE",RT @michaeljknowles: Well that's not good. https://t.co/HAQlNdhGcu,0,43
Arya  आर्य  آریہ 🇮🇳,,"RT @ani_digital: 52 people exhibit adverse events after receiving COVID vaccine in Delhi

Read @ANI Story |
https://t.co/u4JVu8tzbd https:/…",0,116
tinfoil worrior,,"RT @OzraeliAvi: I bet their death certificates list COVID as the cause of death.

Helps them sell more.

https://t.co/jiysSaLInd",0,30
_Vschembri,,RT @michaeljknowles: Well that's not good. https://t.co/HAQlNdhGcu,0,43
Busza,"North Myrtle Beach, SC","RT @NYTHealth: A 56-year-old doctor developed a rare blood disorder a few days after a shot of Pfizer's Covid vaccine, and died 2 weeks lat…",0,5
Anthony McHats,"Texas, USA","RT @TheHatStore: [getting covid vaccine]

me: what about my other arm",0,30
HKReader 😷🤦‍♀️🇭🇰🎗️🖐️☝️,USA 🌴🌞,"RT @joncoopertweets: As of now, the Publix supermarket chain in Florida is only offering the Covid vaccine in counties that were won by Rep…",0,717
Hairo Cortes 🐜🐺,"Santa Ana, CA",RT @ladawn: It’s kind of weird to me that restaurant workers aren’t higher on the COVID vaccine priority list.,0,2
Rafael Santana Parada,,RT @michaeljknowles: Well that's not good. https://t.co/HAQlNdhGcu,0,43
Reenie Aka smartchickwclas!,,"RT @JoeBiden: To get as many people vaccinated as quickly as possible, we need more clinics across the nation. That’s why my administration…",0,4453
Sharwan Kumar Kaushik,"Ghaziabad, India","RT @TOIKolkata: Kolkata nurse loses consciousness after taking Covid vaccine, hospitalised https://t.co/IexsjzVUz7",0,4
Rajendra raj,,"RT @OzraeliAvi: I bet their death certificates list COVID as the cause of death.

Helps them sell more.

https://t.co/jiysSaLInd",0,30
Scott Noren,"Ithaca,NY","@DoctorYasmin Seema..I'm an Oral Surgeon, recipient of the Moderna vaccine, and an investor part time. You should know about the mucosal immunity, possible blocking of transmission, no refrigeration, no booster of the Phase 1 intranasal Covid vaccine by Altimmune called Ad Covid",0,0
00,,RT @michaeljknowles: Well that's not good. https://t.co/HAQlNdhGcu,0,43
Light the Candle NL,,"@VOCMNEWS If someone takes the Covid vaccine and dies, is that considered a Covid death??? Asking for a friend of a friend.",0,0
Psundere,,RT @apoorva_nyc: NEW: #COVID19 vaccines will probably prevent you from getting sick. No one knows yet whether they will keep you from sprea…,0,844
🏳️‍🌈 Golden Grahams 🇨🇦,,"Just got my first dose of the covid vaccine. It went very smoothly! Much love to everyone out there. This is how a virus is fought. Do your homework, check your sources, be smart, be brave, get vaccinated.",1,0
Scott D. Banville,,"RT @aegallo: In a letter that will be read at all Baton Rouge masses this weekend, Bishop Michael Duca says that receiving the COVID vaccin…",0,25
Tim Maliyil,JFK - LAS - LAX - TPE,RT @TIME: mRNA technology gave us the first COVID-19 vaccines. It could also upend the drug industry https://t.co/VhSJestxuf,0,128
steve.,East Coast.,It’s absolutely absurd to me that there’s a covid vaccine that’s not easily accessible and is going to waste in some states.,2,1
❌Mark lingerfelt❌,U.S.A.  🇺🇸🇺🇸🇺🇸,RT @michaeljknowles: Well that's not good. https://t.co/HAQlNdhGcu,0,43
Mr Richard Head to you,,RT @michaeljknowles: Well that's not good. https://t.co/HAQlNdhGcu,0,43
